valid_time,t2m,tp,number,latitude,longitude,expver,station_id
2024-05-08 12:00:00,310.25818,2.2649765e-05,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-09 12:00:00,310.11755,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-10 12:00:00,310.83542,1.3411045e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-11 12:00:00,311.03445,0.00014571846,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-12 12:00:00,309.00897,0.00081948936,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-13 12:00:00,310.84882,1.2858627e-06,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-14 12:00:00,311.64258,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-15 12:00:00,312.85562,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-16 12:00:00,314.29565,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-17 12:00:00,314.78748,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-18 12:00:00,315.69415,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-19 12:00:00,315.72098,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-20 12:00:00,315.42294,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-21 12:00:00,314.2423,8.523463e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-22 12:00:00,313.88782,6.315112e-05,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-23 12:00:00,312.06534,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-24 12:00:00,312.24408,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-25 12:00:00,315.39502,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-26 12:00:00,316.18945,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-27 12:00:00,316.5669,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-28 12:00:00,317.14062,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-29 12:00:00,317.0918,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-30 12:00:00,317.35742,8.523463e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-05-31 12:00:00,316.864,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-01 12:00:00,314.7379,0.00053721666,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-02 12:00:00,313.63037,8.6426735e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-03 12:00:00,315.0691,8.523463e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-04 12:00:00,315.0753,0.0001552403,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-05 12:00:00,309.83887,0.0011166036,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-06 12:00:00,312.09888,4.0724874e-05,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-07 12:00:00,311.93985,0.00030192733,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-08 12:00:00,311.19785,9.1046095e-05,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-09 12:00:00,313.54083,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-10 12:00:00,314.24493,8.523463e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-11 12:00:00,314.8572,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-12 12:00:00,315.53415,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-13 12:00:00,316.25784,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-14 12:00:00,315.80673,8.523463e-07,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-15 12:00:00,315.71674,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-16 12:00:00,316.4145,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-17 12:00:00,316.0447,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-18 12:00:00,315.93985,0.0,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-19 12:00:00,315.30502,5.453825e-06,0,28.599999999999994,77.29999999999997,0001,STATION_33
2024-06-20 12:00:00,310.662,0.00012293458,0,28.599999999999994,77.29999999999997,0001,STATION_33
